epoch,train_loss,val_loss,val_metric,dataset
0,0.524252091684649,0.38888734579086304,0.5400528311729431,arctander_1960
0,0.6545119980971018,0.5550941824913025,0.5239185690879822,flavornet
0,0.640348324408898,0.5110720992088318,0.4837906062602997,ifra_2019
0,0.6612463864413175,0.5826529860496521,0.48558369278907776,sigma_2014
0,3.0668370127677917,2.346216917037964,-0.10019111633300781,abraham_2012
0,0.4965375309640711,0.46492987871170044,0.6691054105758667,mayhew_2022
0,0.5804480652917515,0.4289575517177582,0.5045807957649231,leffingwell
0,0.5298558895786604,0.3489892780780792,0.5041943192481995,gs-lf
0,0.4622738318783896,0.34221845865249634,0.4905490577220917,aromadb_odor
0,0.7291184834071568,0.6626506447792053,0.5173418521881104,aromadb_descriptor
0,0.8345429614519787,0.6631669342517853,0.46189260184764863,average
1,0.4512450771947061,0.29547324776649475,0.5285201668739319,arctander_1960
1,0.5530327359835306,0.5141151547431946,0.5301794409751892,flavornet
1,0.5222251208928915,0.45568549633026123,0.4982430040836334,ifra_2019
1,0.5817001191052523,0.534040629863739,0.49217480421066284,sigma_2014
1,2.660637140274048,2.2205851078033447,-0.04309427738189697,abraham_2012
1,0.4220415150577372,0.44317302107810974,0.44897955656051636,mayhew_2022
1,0.35725555230270734,0.23037393391132355,0.5265211462974548,leffingwell
1,0.2521915271878242,0.18033736944198608,0.5040346384048462,gs-lf
1,0.3293509100164686,0.32356780767440796,0.37803781032562256,aromadb_odor
1,0.6334736347198486,0.5688682198524475,0.5454292893409729,aromadb_descriptor
1,0.6763153332735012,0.5766219988465309,0.44090255796909333,average
2,0.2446486036623678,0.20091959834098816,0.5383921265602112,arctander_1960
2,0.49416549503803253,0.4615332782268524,0.5305132269859314,flavornet
2,0.42515911964269787,0.3731793761253357,0.46641629934310913,ifra_2019
2,0.47952502965927124,0.4331004023551941,0.4941403865814209,sigma_2014
2,2.902401030063629,2.350292921066284,-0.10639989376068115,abraham_2012
2,0.43498017435724085,0.43517056107521057,0.6048645973205566,mayhew_2022
2,0.17696472731503574,0.15195386111736298,0.5349903702735901,leffingwell
2,0.13564887084066868,0.14946728944778442,0.4988386631011963,gs-lf
2,0.3107445665768215,0.3277778923511505,0.41674166917800903,aromadb_odor
2,0.5580769521849496,0.5004197955131531,0.5114389061927795,aromadb_descriptor
2,0.6162314569340716,0.5383814975619317,0.4489936351776123,average
3,0.16923294432701602,0.17466232180595398,0.5252202153205872,arctander_1960
3,0.4160372366507848,0.3966153562068939,0.5247575044631958,flavornet
3,0.32157809229997486,0.29651975631713867,0.4683665335178375,ifra_2019
3,0.3758686753836545,0.3495641052722931,0.4796806871891022,sigma_2014
3,3.5399738550186157,2.647308349609375,-0.24953484535217285,abraham_2012
3,0.4108080877499147,0.4409607946872711,0.4761904776096344,mayhew_2022
3,0.11426337893036279,0.1390310525894165,0.5191731452941895,leffingwell
3,0.10077035824457804,0.14644812047481537,0.5107055902481079,gs-lf
3,0.31031023817402975,0.3301924467086792,0.4104410409927368,aromadb_odor
3,0.47756421140262056,0.4426916241645813,0.5589770674705505,aromadb_descriptor
3,0.6236407078181552,0.5363993927836418,0.4223977416753769,average
4,0.14367339351484854,0.17070713639259338,0.5239109396934509,arctander_1960
4,0.3962816894054413,0.37176594138145447,0.544666051864624,flavornet
4,0.2763206225175124,0.27289870381355286,0.4702357053756714,ifra_2019
4,0.31485680558464746,0.30448469519615173,0.4882988929748535,sigma_2014
4,5.410145163536072,2.3389081954956055,-0.10753214359283447,abraham_2012
4,0.39943501353263855,0.5204282999038696,0.3788987398147583,mayhew_2022
4,0.0898870366879485,0.13600389659404755,0.5180622339248657,leffingwell
4,0.08502208044131597,0.14783595502376556,0.5203983783721924,gs-lf
4,0.3113690103803362,0.32808923721313477,0.46714672446250916,aromadb_odor
4,0.4294688531330654,0.4055403470993042,0.5145507454872131,aromadb_descriptor
4,0.7856459668733827,0.499666240811348,0.4318636268377304,average
5,0.1347535855827793,0.17053855955600739,0.5054047107696533,arctander_1960
5,0.3523470064004262,0.3382725715637207,0.5530911684036255,flavornet
5,0.23954808024259713,0.25413447618484497,0.46849945187568665,ifra_2019
5,0.2672893310135061,0.2813543379306793,0.499563068151474,sigma_2014
5,4.922427773475647,4.136955738067627,-0.966130256652832,abraham_2012
5,0.40866623547944153,0.47401660680770874,0.479078471660614,mayhew_2022
5,0.07426404969936068,0.1370939016342163,0.5108000040054321,leffingwell
5,0.07143372272451719,0.1492370218038559,0.5273555517196655,gs-lf
5,0.3064227019037519,0.34197571873664856,0.38163813948631287,aromadb_odor
5,0.3852855009692056,0.3768891990184784,0.5230633616447449,aromadb_descriptor
5,0.7162437987491233,0.6660468131303787,0.3482363671064377,average
6,0.12294315066068404,0.17142684757709503,0.5092369914054871,arctander_1960
6,0.3397137522697449,0.3374478220939636,0.567663848400116,flavornet
6,0.22491378279832694,0.2496831864118576,0.46530887484550476,ifra_2019
6,0.2477578276937658,0.2703990936279297,0.4841766357421875,sigma_2014
6,3.419778823852539,2.366533041000366,-0.12797105312347412,abraham_2012
6,0.3835827098651366,0.5004359483718872,0.5044281482696533,mayhew_2022
6,0.06142158416861838,0.13850103318691254,0.5159479379653931,leffingwell
6,0.06008153979976972,0.1517498642206192,0.5390819311141968,gs-lf
6,0.2983448718275343,0.3342028856277466,0.42034202814102173,aromadb_odor
6,0.34844107713018146,0.35262545943260193,0.5190557241439819,aromadb_descriptor
6,0.5506979120066301,0.48730051815509795,0.4397271066904068,average
7,0.1163912905800727,0.17322547733783722,0.5154753923416138,arctander_1960
7,0.3185541182756424,0.3222822844982147,0.585292637348175,flavornet
7,0.20691404548975137,0.24394230544567108,0.4544224143028259,ifra_2019
7,0.21709151430563492,0.2609585225582123,0.496622234582901,sigma_2014
7,3.005201756954193,3.131817579269409,-0.4957547187805176,abraham_2012
7,0.37781488082625647,0.67180997133255,0.482158899307251,mayhew_2022
