,params,fitness
54,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0005}",0.8766688704490662
55,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8806328177452087
56,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8800827860832214
57,"{'depth': 3, 'hidden_dim': 192, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8780726790428162
58,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8798828125
59,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.15000000000000002, 'learning_rate': 0.0005}",0.878088116645813
60,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8807979226112366
61,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.35000000000000003, 'learning_rate': 0.0001}",0.8698863387107849
62,"{'depth': 4, 'hidden_dim': 64, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8782724738121033
63,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8817259669303894
64,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.30000000000000004, 'learning_rate': 0.0001}",0.875202476978302
65,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8814948201179504
66,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.30000000000000004, 'learning_rate': 0.0001}",0.8750978708267212
67,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8813925385475159
68,"{'depth': 3, 'hidden_dim': 64, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8798802495002747
69,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8808426260948181
70,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8808223009109497
71,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8813090920448303
72,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8778696656227112
73,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8810397386550903
74,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8811200261116028
75,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8812690377235413
76,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8813167810440063
77,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.880812406539917
78,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8808096647262573
79,"{'depth': 3, 'hidden_dim': 64, 'dropout': 0.45, 'learning_rate': 0.0001}",0.8642255663871765
80,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8807922005653381
81,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8812369108200073
82,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.880650520324707
83,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8781359195709229
84,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8806672096252441
85,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8802557587623596
86,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0001}",0.878324568271637
87,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8803949952125549
88,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.30000000000000004, 'learning_rate': 0.01}",0.8581410050392151
89,"{'depth': 3, 'hidden_dim': 64, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8796406984329224
90,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8777004480361938
91,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8807778358459473
92,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.880761444568634
93,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8811237215995789
94,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.005}",0.8732894659042358
95,"{'depth': 2, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8762357234954834
96,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8804517984390259
97,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.001}",0.878568172454834
98,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8815489411354065
99,"{'depth': 2, 'hidden_dim': 64, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8782820701599121
100,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8806381225585938
101,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8812886476516724
102,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8807159066200256
103,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.880564272403717
104,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8812405467033386
105,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.01}",0.8612426519393921
106,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0005}",0.8781790137290955
107,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8806129097938538
108,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8809821605682373
109,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.881247341632843
110,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.005}",0.8722572326660156
111,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8809826374053955
112,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8806231617927551
113,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8809187412261963
114,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8804827928543091
115,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8807356357574463
116,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.001}",0.8751779794692993
117,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8806249499320984
118,"{'depth': 3, 'hidden_dim': 320, 'dropout': 0.25, 'learning_rate': 0.0001}",0.87971431016922
119,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8813596963882446
120,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8803303837776184
121,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8809416890144348
122,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8812506198883057
123,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8817228078842163
124,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8811080455780029
125,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8804789185523987
126,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8802312016487122
127,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0005}",0.8781979084014893
128,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8806120157241821
129,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.01}",0.8693876266479492
130,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8819583058357239
131,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8807370662689209
132,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8802506923675537
133,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8809887170791626
134,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8806810975074768
135,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8807207942008972
136,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8804545402526855
137,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8811038732528687
138,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8780736923217773
139,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8811725974082947
140,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.005}",0.8748700022697449
141,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8809825778007507
142,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8805405497550964
143,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8781308531761169
144,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8805791735649109
145,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8805208206176758
146,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8813345432281494
147,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.001}",0.8789498209953308
148,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8812063336372375
149,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8806694746017456
