Stimulus,descriptors,anise,rose,coffee,creamy,herbaceous,caramel,banana,fruity,nutty,apple,cherry,spicy,almond,cheese,waxy,pineapple,citrus,berry,vanilla,wine-like,oily,floral,apricot,sweet,butter,woody,earthy,vegetable,green,chocolate,grape,musty,"alliaceous (onion, garlic)",melon,fatty,minty,balsam,honey,meaty,coconut,ethereal,CID,MolecularWeight,IsomericSMILES,IUPACName,name
342,"['woody', 'ethereal', 'medicinal']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,342.0,108.14,CC1=CC(=CC=C1)O,3-methylphenol,m-cresol
379,['oily'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,379.0,144.21,CCCCCCCC(=O)O,octanoic acid,octanoic acid
454,"['honey', 'fruity', 'fatty', 'citrus']",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,454.0,128.21,CCCCCCCC=O,octanal,octanal
460,"['medicinal', 'woody', 'smoky']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,460.0,124.14,COC1=CC=CC=C1O,2-methoxyphenol,guaiacol
527,"['almond', 'apple', 'banana', 'cheese']",False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,527.0,58.08,CCC=O,propanal,propionaldehyde
660,"['almond', 'coconut', 'creamy', 'herbaceous', 'sweet', 'vanilla', 'nutty', 'tobacco']",False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,660.0,148.16,C1CC(=O)OC2=CC=CC=C21,"3,4-dihydrochromen-2-one",dihydrocoumarin
679,"['butter', 'alliaceous (onion, garlic)']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,679.0,78.14,CS(=O)C,methylsulfinylmethane,dimethyl sulfoxide
798,"['butter', 'cheese', 'chocolate', 'grape']",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,798.0,117.15,C1=CC=C2C(=C1)C=CN2,1H-indole,indole
880,['caramel'],False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,880.0,72.06,CC(=O)C=O,2-oxopropanal,methylglyoxal
957,"['citrus', 'fatty', 'woody', 'waxy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,957.0,130.23,CCCCCCCCO,octan-1-ol,1-octanol
996,"['honey', 'rose']",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,996.0,94.11,C1=CC=C(C=C1)O,phenol,phenol
997,"['chocolate', 'fennel', 'herbaceous', 'minty']",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,997.0,164.16,C1=CC=C(C=C1)CC(=O)C(=O)O,2-oxo-3-phenylpropanoic acid,phenylpyruvic acid
998,"['apple', 'berry', 'cherry', 'chocolate']",False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,998.0,120.15,C1=CC=C(C=C1)CC=O,2-phenylacetaldehyde,phenylacetaldehyde
999,"['honey', 'floral', 'green', 'sweet']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,999.0,136.15,C1=CC=C(C=C1)CC(=O)O,2-phenylacetic acid,phenylacetic acid
1030,"['cheese', 'wine-like']",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1030.0,76.09,CC(CO)O,"propane-1,2-diol",propylene glycol
1031,"['alcohol', 'apple', 'musty', 'fruity', 'peanut']",False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1031.0,60.1,CCCO,propan-1-ol,1-propanol
1032,['cherry'],False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1032.0,74.08,CCC(=O)O,propanoic acid,propionic acid
1049,"['sour', 'fishy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1049.0,79.1,C1=CC=NC=C1,pyridine,pyridine
1060,"['caramel', 'creamy', 'vegetable', 'meaty']",False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1060.0,88.06,CC(=O)C(=O)O,2-oxopropanoic acid,pyruvic acid
1068,"['sulfurous', 'vegetable']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1068.0,62.14,CSC,methylsulfanylmethane,dimethyl sulfide
1136,"['nutty', 'meaty']",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1136.0,143.21,CC1=C(SC=N1)CCO,"2-(4-methyl-1,3-thiazol-5-yl)ethanol",4-methyl-5-thiazoleethanol
1145,['walnut'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1145.0,75.11,C[N+](C)(C)[O-],"N,N-dimethylmethanamine oxide",trimethylamine n-oxide
1146,"['oily', 'meaty', 'fishy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1146.0,59.11,CN(C)C,"N,N-dimethylmethanamine",trimethylamine
