Modifiers,Raw Descriptors,Stimulus,balsamic,camphoraceous,citrus,floral,fruity,grass,herbaceous,mint,rose,spicy,sweet,CID,MolecularWeight,IsomericSMILES,IUPACName,name
,fruity,8500,0,0,0,0,1,0,0,0,0,0,0,8500,134.17,CC1=CC=C(C=C1)C(=O)C,1-(4-methylphenyl)ethanone,4'-methylacetophenone
,fruity,8697,0,0,0,0,1,0,0,0,0,0,0,8697,144.21,CCCCC(CC)C(=O)O,2-ethylhexanoic acid,2-ethylhexanoic acid
,sweet,8748,0,0,0,0,0,0,0,0,0,0,1,8748,154.25,CC(=C)C1CCC(CC1)(C)O,1-methyl-4-prop-1-en-2-ylcyclohexan-1-ol,beta-terpineol
,rose-like aroma??????,8767,0,0,0,0,0,0,0,0,1,0,0,8767,274.4,CC(CCC=C(C)C)CCOC(=O)CC1=CC=CC=C1,"3,7-dimethyloct-6-enyl 2-phenylacetate",citronellyl phenylacetate
,floral (Jasmine),8785,0,0,0,1,0,0,0,0,0,0,0,8785,150.17,CC(=O)OCC1=CC=CC=C1,benzyl acetate,benzyl acetate
,fruity-rosy,8792,0,0,0,0,1,0,0,0,1,0,0,8792,206.28,CC(C)CC(=O)OCCC1=CC=CC=C1,2-phenylethyl 3-methylbutanoate,140-26-1
,floral,8797,0,0,0,1,0,0,0,0,0,0,0,8797,150.17,CC1=CC=C(C=C1)OC(=O)C,(4-methylphenyl) acetate,p-tolyl acetate
,fruity aroma,8821,0,0,0,0,1,0,0,0,0,0,0,8821,100.12,CCOC(=O)C=C,ethyl prop-2-enoate,ethyl acrylate
,fruity-rosy,8834,0,0,0,0,1,0,0,0,1,0,0,8834,212.33,CCC(=O)OCCC(C)CCC=C(C)C,"3,7-dimethyloct-6-enyl propanoate",citronellyl propionate
,rose,8835,0,0,0,0,0,0,0,0,1,0,0,8835,226.35,CCCC(=O)OCCC(C)CCC=C(C)C,"3,7-dimethyloct-6-enyl butanoate",citronellyl butyrate
,rose,8842,0,0,0,0,0,0,0,0,1,0,0,8842,156.26,CC(CCC=C(C)C)CCO,"3,7-dimethyloct-6-en-1-ol",citronellol
,floral odour reminiscent of jasmine??????,8863,0,0,0,1,0,0,0,0,0,0,0,8863,218.33,CC(CCCC(C)(C)O)CC(OC)OC,"8,8-dimethoxy-2,6-dimethyloctan-2-ol","8,8-dimethoxy-2,6-dimethyloctan-2-ol"
,sweet,8892,0,0,0,0,0,0,0,0,0,0,1,8892,116.16,CCCCCC(=O)O,hexanoic acid,hexanoic acid
,fruity,8908,0,0,0,0,1,0,0,0,0,0,0,8908,144.21,CCCCCCOC(=O)C,hexyl acetate,hexyl acetate
,rose-citrus,8914,0,0,1,0,0,0,0,0,1,0,0,8914,144.25,CCCCCCCCCO,nonan-1-ol,1-nonanol
,fruity,9017,0,0,0,0,1,0,0,0,0,0,0,9017,198.3,CC(CCC=C(C)C)CCOC(=O)C,"3,7-dimethyloct-6-enyl acetate",citronellyl acetate
,fruity aroma,9024,0,0,0,0,1,0,0,0,0,0,0,9024,192.25,CC(=O)OC(C)(C)CC1=CC=CC=C1,(2-methyl-1-phenylpropan-2-yl) acetate,dimethylbenzylcarbinyl acetate
,grass,9862,0,0,0,0,0,1,0,0,0,0,0,9862,126.2,CC(=CCCC(=O)C)C,6-methylhept-5-en-2-one,6-methyl-5-hepten-2-one
,camphoraceous,9895,0,1,0,0,0,0,0,0,0,0,0,9895,152.23,CC1=C(C(CCC1)(C)C)C=O,"2,6,6-trimethylcyclohexene-1-carbaldehyde",beta-cyclocitral
,camphor,10106,0,1,0,0,0,0,0,0,0,0,0,10106,154.25,CC(C)C12CCC(O1)(CC2)C,1-methyl-4-propan-2-yl-7-oxabicyclo[2.2.1]heptane,"1,4-cineole"
,Spice with floral,10248,0,0,0,1,0,0,0,0,0,1,0,10248,208.25,COC1=CC(=CC(=C1OC)OC)CC=C,"1,2,3-trimethoxy-5-prop-2-enylbenzene",elemicin
,spicy,10364,0,0,0,0,0,0,0,0,0,1,0,10364,150.22,CC1=C(C=C(C=C1)C(C)C)O,2-methyl-5-propan-2-ylphenol,carvacrol
,fruity,10460,0,0,0,0,1,0,0,0,0,0,0,10460,98.14,CCCC=CC=O,hex-2-enal,hexenal
,camphoraceous aroma??,10492,0,1,0,0,0,0,0,0,0,0,0,10492,154.25,C[C@@]12CC[C@H](C1(C)C)C[C@@H]2O,"(1R,2S,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol",borneol
,sweet,10586,0,0,0,0,0,0,0,0,0,0,1,10586,222.37,CC1=CCC(CC1)C(C)(CCC=C(C)C)O,6-methyl-2-(4-methylcyclohex-3-en-1-yl)hept-5-en-2-ol,alpha-bisabolol
,camphoraceous,10817,0,1,0,0,0,0,0,0,0,0,0,10817,136.19,CC1=CC=C(C=C1)C(C)O,1-(4-methylphenyl)ethanol,1-(4-methylphenyl)ethanol
,minty aroma??,10819,0,0,0,0,0,0,0,1,0,0,0,10819,152.23,CC(=C)C1CCC(=CC1)CO,(4-prop-1-en-2-ylcyclohexen-1-yl)methanol,perillyl alcohol
,fruity,10873,0,0,0,0,1,0,0,0,0,0,0,10873,136.19,CCOCC1=CC=CC=C1,ethoxymethylbenzene,(ethoxymethyl)benzene
,fruity,10886,0,0,0,0,1,0,0,0,0,0,0,10886,186.29,CCCCCC(=O)OCCCCC,pentyl hexanoate,pentyl hexanoate
,grass,10976,0,0,0,0,0,1,0,0,0,0,0,10976,116.2,CCCCCC(C)O,heptan-2-ol,2-heptanol
,camphor aroma ,11038,0,1,0,0,0,0,0,0,0,0,0,11038,152.23,CC1C2CC(C2(C)C)CC1=O,"2,6,6-trimethylbicyclo[3.1.1]heptan-3-one",3-pinanone
,"spicy, fruity",11086,0,0,0,0,1,0,0,0,0,1,0,11086,135.16,CC(=O)C1=CC=CC=C1N,1-(2-aminophenyl)ethanone,2'-aminoacetophenone
,sweet,11463,0,0,0,0,0,0,0,0,0,0,1,11463,136.23,CC1=CCC(=C(C)C)CC1,1-methyl-4-propan-2-ylidenecyclohexene,terpinolene
,grass,11513,0,0,0,0,0,1,0,0,0,0,0,11513,116.2,CCCC(CCC)O,heptan-4-ol,4-heptanol
,herbaceous,11520,0,0,0,0,0,0,1,0,0,0,0,11520,116.2,CCCCC(CC)O,heptan-3-ol,heptan-3-ol
,sweet,11529,0,0,0,0,0,0,0,0,0,0,1,11529,130.18,CCCCOC(=O)CC,butyl propanoate,butyl propionate
,fermented fruit??????,11576,0,0,0,0,1,0,0,0,0,0,0,11576,158.19,CCCCOC(=O)CC(=O)C,butyl 3-oxobutanoate,butyl acetoacetate
,fruity,11613,0,0,0,0,1,0,0,0,0,0,0,11613,115.2,CCCCN=C=S,1-isothiocyanatobutane,butyl isothiocyanate
,balsamic,11716,1,0,0,0,0,0,0,0,0,0,0,11716,72.11,CC(C=C)O,but-3-en-2-ol,3-buten-2-ol
,fruity aroma,12177,0,0,0,0,1,0,0,0,0,0,0,12177,98.14,CCC=C(C)C=O,2-methylpent-2-enal,2-methylpent-2-enal
,fruity acetic aroma??????,12198,0,0,0,0,1,0,0,0,0,0,0,12198,160.17,CC(COC(=O)C)OC(=O)C,2-acetyloxypropyl acetate,propylene glycol diacetate
,floral aroma??????,12294,0,0,0,1,0,0,0,0,0,0,0,12294,172.26,CCCCCC(=O)OCCCC,butyl hexanoate,butyl hexanoate
,grass,12297,0,0,0,0,0,1,0,0,0,0,0,12297,102.17,CCCCC(C)O,hexan-2-ol,2-hexanol
,sweet,12323,0,0,0,0,0,0,0,0,0,0,1,12323,116.2,CC(C)CCC(C)O,5-methylhexan-2-ol,5-methyl-2-hexanol
,herbaceous,12578,0,0,0,0,0,0,1,0,0,0,0,12578,162.23,CC(C)C1=CC=C(C=C1)C(=O)C,1-(4-propan-2-ylphenyl)ethanone,4'-isopropylacetophenone
,grassy,14243,0,0,0,0,0,1,0,0,0,0,0,14243,112.17,CCCC=CC(=O)C,hept-3-en-2-one,heptenone
,sweet,14350,0,0,0,0,0,0,0,0,0,0,1,14350,220.35,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,"4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane",caryophyllene epoxide
,herbaceous aroma??,15068,0,0,0,0,0,0,1,0,0,0,0,15068,150.17,CC1=CC(=C(C=C1)O)C(=O)C,1-(2-hydroxy-5-methylphenyl)ethanone,1450-72-2
,camphor,15406,0,1,0,0,0,0,0,0,0,0,0,15406,154.25,CC1(C2CCC(C2)(C1O)C)C,"1,3,3-trimethylbicyclo[2.2.1]heptan-2-ol",fenchol
,sweet,15600,0,0,0,0,0,0,0,0,0,0,1,15600,142.28,CCCCCCCCCC,decane,decane
,fruity,16330,0,0,0,0,1,0,0,0,0,0,0,16330,194.23,CCCCOC(=O)C1=CC=CC=C1O,butyl 2-hydroxybenzoate,butyl salicylate
,fruity,16331,0,0,0,0,1,0,0,0,0,0,0,16331,172.22,CCCCOC(=O)CCC(=O)C,butyl 4-oxopentanoate,butyl levulinate
,minty,16441,0,0,0,0,0,0,0,1,0,0,0,16441,150.22,CC(=C)C1CCC(=CC1)C=O,4-prop-1-en-2-ylcyclohexene-1-carbaldehyde,perillaldehyde
,Mint,16666,0,0,0,0,0,0,0,1,0,0,0,16666,156.26,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",l-menthol
,minty aroma??,16724,0,0,0,0,0,0,0,1,0,0,0,16724,150.22,CC1=CC[C@@H](CC1=O)C(=C)C,(5S)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,d-carvone
,rose,16864,0,0,0,0,0,0,0,0,1,0,0,16864,224.34,CC(C)C(=O)OCC=C(C)CCC=C(C)C,"3,7-dimethylocta-2,6-dienyl 2-methylpropanoate","propanoic acid, 2-methyl-, (2e)-3,7-dimethyl-2,6-octadienyl ester"
,mint,17100,0,0,0,0,0,0,0,1,0,0,0,17100,154.25,CC1=CCC(CC1)C(C)(C)O,2-(4-methylcyclohex-3-en-1-yl)propan-2-ol,alpha-terpineol
,fruity aroma,17243,0,0,0,0,1,0,0,0,0,0,0,17243,142.2,CCCC=CCOC(=O)C,hex-2-enyl acetate,hex-2-enyl acetate
,fruity,17525,0,0,0,0,1,0,0,0,0,0,0,17525,172.26,CCCCCCOC(=O)CCC,hexyl butanoate,hexyl butyrate
,Fruity grape aroma??,17623,0,0,0,0,1,0,0,0,0,0,0,17623,193.2,CC(=O)NC1=CC=CC=C1C(=O)OC,methyl 2-acetamidobenzoate,methyl 2-acetamidobenzoate
,floral balsamic,17739,1,0,0,1,0,0,0,0,0,0,0,17739,166.22,CCCC1=CC(=C(C=C1)O)OC,2-methoxy-4-propylphenol,2-methoxy-4-propylphenol
,honey-floral,18744,0,0,0,1,0,0,0,0,0,0,0,18744,226.27,C1=CC=C(C=C1)CC(C2=CC=CC=C2)C(=O)O,"2,3-diphenylpropanoic acid","2,3-diphenylpropanoic acid"
,minty aroma,19244,0,0,0,0,0,0,0,1,0,0,0,19244,156.26,C[C@@H]1CC[C@@H]([C@@H](C1)O)C(C)C,"(1R,2R,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",neoisomenthol
