epoch,train_loss,val_loss,val_metric,dataset
0,0.5066643184231173,0.3749336302280426,0.5257570743560791,arctander_1960
0,0.6722347040971121,0.5656366944313049,0.5050448775291443,flavornet
0,0.6505838953531705,0.5462260246276855,0.5234794616699219,ifra_2019
0,0.6802005930380388,0.5866249203681946,0.49111324548721313,sigma_2014
0,4.971731185913086,2.482715129852295,-0.1642245054244995,abraham_2012
0,0.5106402689760382,0.44218507409095764,0.7064239978790283,mayhew_2022
0,0.5905323434959758,0.45338985323905945,0.5194275975227356,leffingwell
0,0.5481711655855179,0.3778756260871887,0.5087493062019348,gs-lf
0,0.6870434539658683,0.3839302361011505,0.39603960514068604,aromadb_odor
0,0.6709872569356646,0.6234462857246399,0.39721420407295227,aromadb_descriptor
0,1.048878918578359,0.6836963474750519,0.4409024864435196,average
1,0.47267542923650435,0.3313418924808502,0.5443751811981201,arctander_1960
1,0.5602848728497823,0.5346338748931885,0.47496601939201355,flavornet
1,0.5568026212545542,0.5082412362098694,0.5402912497520447,ifra_2019
1,0.6313317689028654,0.5854249596595764,0.5094894170761108,sigma_2014
1,2.859646260738373,2.231658697128296,-0.048189520835876465,abraham_2012
1,0.4204961792989211,0.43738242983818054,0.35624438524246216,mayhew_2022
1,0.3876430995085023,0.2727389335632324,0.5016432404518127,leffingwell
1,0.279378047088782,0.1979626715183258,0.5104399919509888,gs-lf
1,0.3483341187238693,0.32645514607429504,0.45094507932662964,aromadb_odor
1,0.58681948695864,0.5380517244338989,0.3813842833042145,aromadb_descriptor
1,0.7103411884560795,0.5963891565799713,0.42215893268585203,average
2,0.28411838027738756,0.22947973012924194,0.5410646200180054,arctander_1960
2,0.5089383671681086,0.47753357887268066,0.464900404214859,flavornet
2,0.4596064595075754,0.41735249757766724,0.5383738279342651,ifra_2019
2,0.5285898772152987,0.4816564619541168,0.4982559382915497,sigma_2014
2,2.688141345977783,2.262800931930542,-0.06442797183990479,abraham_2012
2,0.42535690015012567,0.4341301918029785,0.4983955919742584,mayhew_2022
2,0.19524881006641823,0.166399747133255,0.5089365839958191,leffingwell
2,0.14131858199834824,0.1520141065120697,0.5089438557624817,gs-lf
2,0.3282433237348284,0.3252967894077301,0.4626462459564209,aromadb_odor
2,0.5100391379424504,0.4689418375492096,0.42124834656715393,aromadb_descriptor
2,0.6069601184038325,0.5415605872869491,0.43783374428749083,average
3,0.18973386479962256,0.18641294538974762,0.5394763946533203,arctander_1960
3,0.4458151012659073,0.4144630432128906,0.49105963110923767,flavornet
3,0.3667056950239035,0.3394052982330322,0.5493187308311462,ifra_2019
3,0.4305564896626906,0.39534032344818115,0.5016708374023438,sigma_2014
3,2.9006741642951965,2.1910083293914795,-0.03244519233703613,abraham_2012
3,0.4127070199359547,0.44259873032569885,0.41387495398521423,mayhew_2022
3,0.11923582089895551,0.14180736243724823,0.4968065619468689,leffingwell
3,0.10103967537482579,0.1465919464826584,0.5100223422050476,gs-lf
3,0.302151511822428,0.33307164907455444,0.48424842953681946,aromadb_odor
3,0.4440575199467795,0.4149208068847656,0.4503422677516937,aromadb_descriptor
3,0.5712676863026264,0.5005620434880257,0.4404374957084656,average
4,0.15339510142803192,0.1746445745229721,0.5251079797744751,arctander_1960
4,0.39909188946088153,0.38084590435028076,0.4822556674480438,flavornet
4,0.300692081451416,0.2938275933265686,0.5468682050704956,ifra_2019
4,0.3440668068148873,0.32881757616996765,0.49658143520355225,sigma_2014
4,2.711500585079193,2.2319557666778564,-0.05389904975891113,abraham_2012
4,0.4069643169641495,0.4497407078742981,0.4650879204273224,mayhew_2022
4,0.0890511137179353,0.1367209106683731,0.52061527967453,leffingwell
4,0.08281239954133829,0.1476026177406311,0.5081925392150879,gs-lf
4,0.3112376609018871,0.3287234604358673,0.46804678440093994,aromadb_odor
4,0.39740024294172016,0.3827728033065796,0.4611302614212036,aromadb_descriptor
4,0.519621219830144,0.48556519150733946,0.44199870228767396,average
5,0.13594257350890868,0.17196562886238098,0.5226895809173584,arctander_1960
5,0.3650917212168376,0.3487069010734558,0.5200604796409607,flavornet
5,0.2582287754003818,0.2670244872570038,0.5544741749763489,ifra_2019
5,0.29155328598889435,0.2945900559425354,0.5138041973114014,sigma_2014
5,3.5570842623710632,2.5453081130981445,-0.2045912742614746,abraham_2012
5,0.3850909850814126,0.5061654448509216,0.4087408483028412,mayhew_2022
5,0.07734350436790423,0.13678310811519623,0.5125496983528137,leffingwell
