run_name,best_value
royal-sweep-192,0.730948
confused-sweep-235,0.718136
serene-sweep-241,0.716988
atomic-sweep-203,0.705454
earnest-sweep-58,0.703848
playful-sweep-83,0.698735
dandy-sweep-221,0.697798
fast-sweep-248,0.695259
happy-sweep-194,0.688242
good-sweep-120,0.678577
